window_key,period_label,rule_group,rule_name,rule_definition,status_label
1d,하루 기준,매출 비교,직전 기간 비교,하루 기준 매출은 같은 길이의 직전 기간과 비교합니다.,정상
1d,하루 기준,매출 비교,비교 이력 기준,하루 기준 시작일 이전까지 이력이 확보된 경우에만 증감 비교를 사용합니다.,정상
1d,하루 기준,역할 분류,선택 기간 관측 사용,역할 분류는 하루 기준 관측을 기준으로 다시 집계합니다.,정상
1d,하루 기준,역할 분류,점수 우선 판정,"역할 분류는 첫구매·확장·반복·동시구매 점수를 우선 보고, 건수는 보조 근거로만 사용합니다.",정상
1d,하루 기준,브랜드 점수,큐 미반영,브랜드 점수는 상세·정의·데이터 상태 화면에만 표시하고 큐 랭킹에는 사용하지 않습니다.,제한적 반영
1d,하루 기준,브랜드 점수,브랜드 전체 방향 우선,"브랜드 전체 방향을 먼저 읽고, 상품 기여는 그다음 보조 정보로 봅니다.",제한적 반영
1d,하루 기준,브랜드 점수,기간 상대 비교 읽기,브랜드 방향은 현재 시점의 1일·7일·30일 상대 비교로 읽습니다.,제한적 반영
1d,하루 기준,브랜드 점수,브랜드 단위 운영 계약,"브랜드 점수는 브랜드 전체 방향과 상품별 기여도로 나눠 관리하며, 상품별 최종 점수처럼 사용하지 않습니다.",제한적 반영
1d,하루 기준,브랜드 점수,상태와 숫자 노출,"산출 불가·제한 반영·운영 참고·검증 후보 상태로 나누고, 제한 반영 이하에서는 최종 숫자를 숨깁니다.",제한적 반영
1d,하루 기준,브랜드 점수,재구성 관리 기록,"재구성 수준, 정합성 수준, 제한 사유를 관리 기록과 브랜드·상품 기여 산출에 함께 남깁니다.",제한적 반영
1d,하루 기준,브랜드 점수,최신성 제한,하루 기준 화면에서도 이벤트나 동시구매 데이터 최신성이 부족하면 제한 반영으로 낮춥니다.,제한적 반영
1d,하루 기준,브랜드 점수,숫자 노출 규칙,제한 반영과 산출 불가 상태에서는 최종 브랜드 점수 숫자를 숨기고 상태와 제한 사유만 보여줍니다.,제한적 반영
1d,하루 기준,역할 분류,동시구매 근거,"동시구매 기여는 재구성된 동시구매 요약을 근거로 하며, 상세 보기에서는 분류와 동반구매율, 상위 연관 상품을 함께 보여줍니다.",제한적 반영
1d,하루 기준,데이터 상태,freshness 공개,원천 데이터 최신일 차이를 숨기지 않고 그대로 표시합니다.,정상
1d,하루 기준,데이터 상태,비교 이력 부족 공개,하루 기준 비교에 필요한 이력이 부족하면 비교 불가 상태를 그대로 표시합니다.,정상
1d,하루 기준,상품 이미지,Rosetta products 기준,상품 이미지는 raw_rosetta.products.csv의 list_image를 기준으로 사용합니다.,정상
7d,최근 7일,매출 비교,직전 기간 비교,최근 7일 매출은 같은 길이의 직전 기간과 비교합니다.,정상
7d,최근 7일,매출 비교,비교 이력 기준,최근 7일 시작일 이전까지 이력이 확보된 경우에만 증감 비교를 사용합니다.,정상
7d,최근 7일,역할 분류,선택 기간 관측 사용,역할 분류는 최근 7일 관측을 기준으로 다시 집계합니다.,정상
7d,최근 7일,역할 분류,점수 우선 판정,"역할 분류는 첫구매·확장·반복·동시구매 점수를 우선 보고, 건수는 보조 근거로만 사용합니다.",정상
7d,최근 7일,브랜드 점수,큐 미반영,브랜드 점수는 상세·정의·데이터 상태 화면에만 표시하고 큐 랭킹에는 사용하지 않습니다.,제한적 반영
7d,최근 7일,브랜드 점수,브랜드 전체 방향 우선,"브랜드 전체 방향을 먼저 읽고, 상품 기여는 그다음 보조 정보로 봅니다.",제한적 반영
7d,최근 7일,브랜드 점수,기간 상대 비교 읽기,브랜드 방향은 현재 시점의 1일·7일·30일 상대 비교로 읽습니다.,제한적 반영
7d,최근 7일,브랜드 점수,브랜드 단위 운영 계약,"브랜드 점수는 브랜드 전체 방향과 상품별 기여도로 나눠 관리하며, 상품별 최종 점수처럼 사용하지 않습니다.",제한적 반영
7d,최근 7일,브랜드 점수,상태와 숫자 노출,"산출 불가·제한 반영·운영 참고·검증 후보 상태로 나누고, 제한 반영 이하에서는 최종 숫자를 숨깁니다.",제한적 반영
7d,최근 7일,브랜드 점수,재구성 관리 기록,"재구성 수준, 정합성 수준, 제한 사유를 관리 기록과 브랜드·상품 기여 산출에 함께 남깁니다.",제한적 반영
7d,최근 7일,브랜드 점수,최신성 제한,최근 7일 화면에서도 이벤트나 동시구매 데이터 최신성이 부족하면 제한 반영으로 낮춥니다.,제한적 반영
7d,최근 7일,브랜드 점수,숫자 노출 규칙,제한 반영과 산출 불가 상태에서는 최종 브랜드 점수 숫자를 숨기고 상태와 제한 사유만 보여줍니다.,제한적 반영
7d,최근 7일,역할 분류,동시구매 근거,"동시구매 기여는 재구성된 동시구매 요약을 근거로 하며, 상세 보기에서는 분류와 동반구매율, 상위 연관 상품을 함께 보여줍니다.",제한적 반영
7d,최근 7일,데이터 상태,freshness 공개,원천 데이터 최신일 차이를 숨기지 않고 그대로 표시합니다.,정상
7d,최근 7일,데이터 상태,비교 이력 부족 공개,최근 7일 비교에 필요한 이력이 부족하면 비교 불가 상태를 그대로 표시합니다.,정상
7d,최근 7일,상품 이미지,Rosetta products 기준,상품 이미지는 raw_rosetta.products.csv의 list_image를 기준으로 사용합니다.,정상
30d,최근 30일,매출 비교,직전 기간 비교,최근 30일 매출은 같은 길이의 직전 기간과 비교합니다.,정상
30d,최근 30일,매출 비교,비교 이력 기준,최근 30일 시작일 이전까지 이력이 확보된 경우에만 증감 비교를 사용합니다.,정상
30d,최근 30일,역할 분류,선택 기간 관측 사용,역할 분류는 최근 30일 관측을 기준으로 다시 집계합니다.,정상
30d,최근 30일,역할 분류,점수 우선 판정,"역할 분류는 첫구매·확장·반복·동시구매 점수를 우선 보고, 건수는 보조 근거로만 사용합니다.",정상
30d,최근 30일,브랜드 점수,큐 미반영,브랜드 점수는 상세·정의·데이터 상태 화면에만 표시하고 큐 랭킹에는 사용하지 않습니다.,제한적 반영
30d,최근 30일,브랜드 점수,브랜드 전체 방향 우선,"브랜드 전체 방향을 먼저 읽고, 상품 기여는 그다음 보조 정보로 봅니다.",제한적 반영
30d,최근 30일,브랜드 점수,기간 상대 비교 읽기,브랜드 방향은 현재 시점의 1일·7일·30일 상대 비교로 읽습니다.,제한적 반영
30d,최근 30일,브랜드 점수,브랜드 단위 운영 계약,"브랜드 점수는 브랜드 전체 방향과 상품별 기여도로 나눠 관리하며, 상품별 최종 점수처럼 사용하지 않습니다.",제한적 반영
30d,최근 30일,브랜드 점수,상태와 숫자 노출,"산출 불가·제한 반영·운영 참고·검증 후보 상태로 나누고, 제한 반영 이하에서는 최종 숫자를 숨깁니다.",제한적 반영
30d,최근 30일,브랜드 점수,재구성 관리 기록,"재구성 수준, 정합성 수준, 제한 사유를 관리 기록과 브랜드·상품 기여 산출에 함께 남깁니다.",제한적 반영
