period,role_state_primary,role_label,current_revenue,previous_revenue,revenue_delta,revenue_delta_rate,current_revenue_share,previous_revenue_share,revenue_share_delta,role_rank,as_of_date,support_window_days,current_covered_days,previous_covered_days,expected_window_days,partial_history_flag,role_history_mode,role_history_mode_label,role_history_warning_level,role_history_warning_title,role_history_warning_copy,role_history_basis_copy,coverage_summary
daily,entry,첫구매 유도,865100,0,865100,,0.31871937516118337,0,0.31871937516118337,1,2026-04-17,1,1,0,1,true,partial_same_date,partial same-date coverage,caution,"어제(최근 확정일) 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","어제(최근 확정일) 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다."
daily,expansion,단골 유도,864500,0,864500,,0.3184983236930332,0,0.3184983236930332,2,2026-04-17,1,1,0,1,true,partial_same_date,partial same-date coverage,caution,"어제(최근 확정일) 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","어제(최근 확정일) 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다."
daily,return,반복 구매,479500,0,479500,,0.1766569649633423,0,0.1766569649633423,3,2026-04-17,1,1,0,1,true,partial_same_date,partial same-date coverage,caution,"어제(최근 확정일) 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","어제(최근 확정일) 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다."
daily,,관측 상태 없음,345700,0,345700,,0.12736248756585491,0,0.12736248756585491,4,2026-04-17,1,1,0,1,true,partial_same_date,partial same-date coverage,caution,"어제(최근 확정일) 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","어제(최근 확정일) 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다."
daily,convergence,구매 집중,159500,0,159500,,0.058762848616586226,0,0.058762848616586226,5,2026-04-17,1,1,0,1,true,partial_same_date,partial same-date coverage,caution,"어제(최근 확정일) 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","어제(최근 확정일) 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 1일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/1일, 비교 구간 0/1일입니다."
weekly,entry,첫구매 유도,865100,0,865100,,0.31871937516118337,0,0.31871937516118337,1,2026-04-17,7,1,0,7,true,partial_same_date,partial same-date coverage,strong,"최근 7일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","최근 7일 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다."
weekly,expansion,단골 유도,864500,0,864500,,0.3184983236930332,0,0.3184983236930332,2,2026-04-17,7,1,0,7,true,partial_same_date,partial same-date coverage,strong,"최근 7일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","최근 7일 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다."
weekly,return,반복 구매,479500,0,479500,,0.1766569649633423,0,0.1766569649633423,3,2026-04-17,7,1,0,7,true,partial_same_date,partial same-date coverage,strong,"최근 7일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","최근 7일 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다."
weekly,,관측 상태 없음,345700,0,345700,,0.12736248756585491,0,0.12736248756585491,4,2026-04-17,7,1,0,7,true,partial_same_date,partial same-date coverage,strong,"최근 7일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","최근 7일 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다."
weekly,convergence,구매 집중,159500,0,159500,,0.058762848616586226,0,0.058762848616586226,5,2026-04-17,7,1,0,7,true,partial_same_date,partial same-date coverage,strong,"최근 7일 총매출은 전체 기간 기준이지만, 역할 비교는 관측된 일부 날짜만 반영됩니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다. 총매출 해석은 그대로 보셔도 되지만, 역할 변화 해석은 실제 관측된 날짜만 반영된 제한적 참고값입니다.","최근 7일 총매출과 역할 변화 해석은 같은 범위를 뜻하지 않으며, 역할 표는 관측 확보분만 반영한 참고값입니다.","기간 총매출은 7일 전체 기준으로 집계했고, 역할 비교에 실제로 쓸 수 있는 관측일은 현재 1/7일, 비교 구간 0/7일입니다."
