as_of_date,registry_key,item_name,classification,rosetta_direct,core_referenced,reconstruction_logic,parity_level,user_exposure_level,limitation_reason,availability_status
2026-04-18,revenue_rolling,Revenue rolling,Rosetta direct,예,아니오,product_revenue_daily를 기준으로 7/30/90일 rolling과 직전 동일 길이 비교를 계산합니다.,source_direct,주축,,available
2026-04-18,role_taxonomy,Role taxonomy,Semantically similar,예,아니오,"pgm_scored와 demand, basket, transition source를 조합해 PRD 역할 분류를 다시 계산합니다.",policy_mapped,주축,PRD 역할 분류는 direct source를 재배열한 운영용 분류라 core canonical output과 1:1 대응하지 않습니다.,available
2026-04-18,reconstructed_order_product_events,order product events,Core-reconstructed,아니오,예,orders_header와 order_lines를 canonical join해 member_id/order_id/order_at/product_id 기준 reconstructed event layer를 만듭니다.,low,내부 지원,event 최신일이 늦어 core와 동일한 freshness를 보장하지 못합니다.,available
2026-04-18,reconstructed_basket_summary,basket summary,Core-reconstructed,아니오,예,"reconstructed order product events에서 attach_rate, top1/top3 share, volume weight, basket type을 core 규칙으로 재생성합니다.",low,상세 보조,raw basket detail과의 유사도가 낮아 exact parity를 주장할 수 없습니다.,available
2026-04-18,basket_role_evidence,basket role evidence,Semantically similar,아니오,예,reconstructed basket summary를 동시구매기여와 상세 근거에 연결합니다.,low,상세 보조,역할 근거로는 사용하지만 core basket summary와 동일성은 아직 입증되지 않았습니다.,available
2026-04-18,brand_score_brand_level,Brand Score brand-level,Core-reconstructed,아니오,예,step03_brand_health의 5축 구조와 PS 공식을 따라 brand-level Brand Score를 재구성합니다.,high,보조축,이벤트 최신성 지연 / 동시구매 재구성 안정성 낮음,limited
2026-04-18,brand_score_product_contributors,Brand Score product contribution,Core-reconstructed,아니오,예,brand-level 구조 점수에 기여하는 상품별 축 입력과 기여 비중을 분리해 보여줍니다.,medium,상세 보조,일부 상품은 contributor 상태가 limited입니다.,unavailable
2026-04-18,brand_confidence,brand confidence,Semantically similar,아니오,예,core step03 threshold를 따라 High/Medium/Low confidence label을 brand-level reconstructed input에 적용합니다.,threshold_aligned,보조축,confidence label은 core threshold를 참고하지만 direct diff 검증은 아직 없습니다.,limited
2026-04-18,brand_revenue_context,brand revenue context,Rosetta direct,예,아니오,brand_purchase_daily를 기준으로 최근 30일과 직전 30일 브랜드 매출을 계산합니다.,source_direct,문맥 보조,,available
2026-04-18,brand_score_exact_parity,Brand Score exact parity,Still insufficient,아니오,예,core output diff harness 없이 exact parity를 보장하지 않습니다.,not_proven,미노출,core canonical output과의 field-by-field diff 검증이 없어 near-core나 exact parity를 주장할 수 없습니다.,unavailable
